JAMMR,FREQ,BAND
SPSH7,1390 30
SPSH7,1400 30
SPSH7,2100 30
SPSH7,3000 30
SPSH7,3015 30
SPSH7,3300 30
SPSH7,9500 30
SPSN2,1250 30
SPSN2,1350 30
SPSN2,1360 30
SPSN2,1390 30
SPSN2,1400 30
SPSN2,2100 30
SPSN2,3000 30
SPSN2,3015 30
SPSN2,3300 30
SPSN2,9500 30
SPSN3,1250 30
SPSN3,1350 30
SPSN3,1360 30
SPSN3,1390 30
SPSN3,1400 30
SPSN3,2100 30
SPSN3,3000 30
SPSN3,3015 30
SPSN3,3300 30
SPSN3,9500 30
SPSP7,1250 30
SPSP7,1350 30
SPSP7,1360 30
SPSP7,1390 30
SPSP7,1400 30
SPSP7,2100 30
SPSP7,3000 30
SPSP7,3015 30
SPSP7,3300 30
SPSP7,9500 30
SPSW2,1250 30
SPSW2,1350 30
SPSW2,1360 30
SPSW2,1390 30
SPSW2,1400 30
SPSW2,2100 30
SPSW2,3000 30
SPSW2,3015 30
SPSW2,3300 30
SPSW2,9500 30
SPSW6,1250 30
SPSW6,1350 30
SPSW6,1360 30
SPSW6,1390 30
SPSW6,1400 30
SPSW6,2100 30
SPSW6 3000 30
SPSW6 3015 30
SPSW6,3300 30
SPSW6,9500 30
SPSW9,1250 30
SPSW9,1350 30
SPSW9,1360 30
SPSW9,1390 30
SPSW9,1400 30
SPSW9,2100 30
SPSW9,3000 30
SPSW9,3015 30
SPSW9,3300 30
SPSW9,9500 30
SRRDS,84 100
SRRDS,85 100
SRRDS,250 100
SRRDS,500 100
SRRDS,925 100
SRRDS,3163 100
